tlist,excited_pop,coherence,rc_pop
1.4000000000000001,0.999856014382192,0.014397286563239629,0.17313996787864716
1.5,0.9998384756348665,0.016151117756008946,0.17313996771465942
1.6,0.9998206529131137,0.01793335103439817,0.17313996644597904
1.7000000000000002,0.9998026961440754,0.019728993765322934,0.1731399651808525
1.8,0.9997847560575392,0.02152297296434219,0.17313996412616897
1.9000000000000001,0.9997669829165337,0.02330026231273565,0.1731399629723945
2.0,0.9997495252616024,0.02504600769331686,0.17313996186617767
2.1,0.999732528669724,0.026745651304659387,0.1731399608023889
2.2,0.9997161345406231,0.02838505303599158,0.17313995977111554
2.3000000000000003,0.9997004789217057,0.029950607970381335,0.17313995879379138
2.4000000000000004,0.9996856913792986,0.03142935926408845,0.17313995787477746
2.5,0.9996718939275809,0.03280910525512233,0.1731399570209766
2.6,0.9996592000221951,0.03407850010404257,0.17313995624025996
2.7,0.9996477136286283,0.03522714695827731,0.17313995553843403
2.8000000000000003,0.9996375283712623,0.03624568304980939,0.173139954921129
2.9000000000000004,0.9996287267716203,0.03712585587312374,0.1731399543932574
3.0,0.9996213795807832,0.03786058994683411,0.17313995395887552
3.1,0.999615545212037,0.03844404355195993,0.17313995362129903
3.2,0.9996112692783168,0.03887165499083634,0.17313995338301608
3.3000000000000003,0.9996085842372726,0.03914017808401454,0.17313995324567227
3.4000000000000004,0.9996075091483264,0.03924770646798295,0.17313995321006903
3.5,0.9996080495411893,0.03919368674705835,0.17313995327615164
3.6,0.9996101973994977,0.038978920133293134,0.1731399534430144
3.7,0.9996139312564678,0.0386055528845878,0.17313995370890864
3.8000000000000003,0.9996192164044342,0.038077055354365,0.17313995407125932
3.9000000000000004,0.9996260052136746,0.03739819011247187,0.17313995452669012
4.0,0.9996342375597159,0.03657496921807184,0.17313995507105173
4.1000000000000005,0.9996438413538284,0.035614601173233895,0.1731399556994585
4.2,0.9996547331728212,0.03452542794666498,0.17313995640633112
4.3,0.9996668189825861,0.03331685262207318,0.17313995718544578
4.4,0.999679994948519,0.03199925835879814,0.17313995802998655
4.5,0.9996941483269901,0.03058391924718058,0.1731399589326036
4.6000000000000005,0.9997091584287224,0.029082903973082656,0.1731399598854772
4.7,0.999724897647469,0.02750897295188128,0.17313996088038333
4.800000000000001,0.9997412325437013,0.02587546996157842,0.17313996190876418
4.9,0.999758024975408,0.02419620906412363,0.17313996296179926
5.0,0.999775133265431,0.022485357872978107,0.17313996403048074
5.1000000000000005,0.9997924133961732,0.020757318083146986,0.17313996510568994
5.2,0.9998097202211721,0.01902660431419991,0.1731399661782727
5.300000000000001,0.9998269086836248,0.01730772225793002,0.1731399672391172
5.4,0.9998438350314127,0.015615047175810203,0.17313996827922898
5.5,0.9998603580187688,0.013962703731625168,0.17313996928980813
5.6000000000000005,0.9998763400840278,0.012364448215695142,0.1731399702623195
5.7,0.9998916484944436,0.01083355406204714,0.1731399711885671
